Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1996-01-01,5.550000190734863,5.599999904632568,5.533332824707031,5.5833330154418945,3.2557358741760254,985500,0.0,0.0
1996-01-02,5.466666221618652,5.566666126251221,5.288887977600098,5.372221946716309,3.132633686065674,7470000,0.0,0.0
1996-01-03,5.133333206176758,5.254444122314453,5.101110935211182,5.199999809265137,3.032208204269409,15160500,0.0,0.0
1996-01-04,5.199999809265137,5.332221984863281,5.144443988800049,5.29777717590332,3.0892229080200195,12397500,0.0,0.0
1996-01-05,5.29777717590332,5.277777194976807,5.188888072967529,5.202221870422363,3.0335049629211426,5008500,0.0,0.0
1996-01-08,5.202221870422363,5.238887786865234,5.011110782623291,5.042222023010254,2.9402053356170654,12645000,0.0,0.0
1996-01-09,5.042222023010254,5.108888149261475,4.983333110809326,5.02888822555542,2.9324300289154053,8968500,0.0,0.0
1996-01-10,5.02888822555542,5.111111164093018,4.977777004241943,5.012221813201904,2.9227120876312256,2988000,0.0,0.0
1996-01-11,5.012221813201904,5.043333053588867,4.988887786865234,5.038887977600098,2.9382615089416504,2227500,0.0,0.0
1996-01-12,5.038887977600098,5.133333206176758,5.02222204208374,5.088888168334961,2.9674177169799805,4806000,0.0,0.0
1996-01-15,5.088888168334961,5.111111164093018,5.027777194976807,5.0344438552856445,2.9356698989868164,2020500,0.0,0.0
1996-01-16,5.0344438552856445,5.067777156829834,5.0,5.018887996673584,2.9265990257263184,3082500,0.0,0.0
1996-01-17,5.018887996673584,5.0444440841674805,5.002222061157227,5.017776966094971,2.925950050354004,3078000,0.0,0.0
1996-01-18,5.017776966094971,4.997776985168457,4.888887882232666,4.955554962158203,2.8896684646606445,5148000,0.0,0.0
1996-01-19,4.955554962158203,4.966666221618652,4.627777099609375,4.741110801696777,2.764622449874878,16128000,0.0,0.0
1996-01-22,4.741110801696777,4.77555513381958,4.645555019378662,4.70777702331543,2.745185136795044,3946500,0.0,0.0
1996-01-23,4.70777702331543,4.747776985168457,4.377777099609375,4.416666030883789,2.575432538986206,7947000,0.0,0.0
1996-01-24,4.416666030883789,4.477777004241943,4.150000095367432,4.225554943084717,2.4639925956726074,15763500,0.0,0.0
1996-01-25,4.225554943084717,4.222221851348877,4.144443988800049,4.18222188949585,2.4387245178222656,8140500,0.0,0.0
